iter	Passed	Remaining
332	1986	3979
333	1988	3965
334	1990	3951
335	1996	3945
336	1998	3932
337	2001	3919
338	2012	3923
339	2016	3915
340	2019	3902
341	2029	3905
342	2042	3913
343	2045	3900
344	2048	3889
345	2050	3875
346	2051	3861
347	2053	3847
348	2056	3835
349	2062	3830
350	2072	3832
351	2075	3820
352	2076	3806
353	2083	3801
354	2086	3790
355	2090	3781
356	2092	3769
357	2098	3763
358	2101	3752
359	2103	3738
360	2105	3726
361	2106	3713
362	2108	3700
363	2112	3690
364	2115	3679
365	2116	3666
366	2119	3655
367	2123	3647
368	2126	3635
369	2129	3625
370	2138	3625
371	2141	3615
372	2145	3606
373	2155	3607
374	2157	3596
375	2159	3583
376	2161	3571
377	2163	3559
378	2169	3554
379	2172	3543
380	2175	3533
381	2177	3522
382	2183	3517
383	2189	3511
384	2191	3501
385	2196	3493
386	2201	3487
387	2210	3487
388	2212	3475
389	2214	3464
390	2216	3452
391	2218	3440
392	2226	3438
393	2228	3427
394	2231	3418
395	2234	3407
396	2236	3397
397	2244	3394
398	2246	3383
399	2248	3372
400	2251	3362
401	2257	3358
402	2260	3349
403	2264	3340
404	2271	3336
405	2273	3325
406	2275	3314
407	2277	3305
408	2280	3295
409	2290	3295
410	2294	3288
411	2299	3281
